	Feature ID	S10-V5-Q-B61-calc	S14-V5-P-B17-calc	S15-V5-R-B78-calc	S16S17-V5-K1-G12-root	S16S17-V5-K2-G12-root	S18S19-V5-L-B17-root	S20S21-V5-M-B61-root	S22S23-V5-N-B78-root	S8-V5-O-G12-calc	Taxon
61	019e4a461da508a5fc9520942fff7ba7	0.0	0.0	0.0	48.0	43.0	0.0	70.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595422; f__Burkholderiaceae_A_595422; g__Castellaniella
62	d49410cd15c32cbad6a830a55eba5493	37.0	53.0	21.0	0.0	0.0	0.0	0.0	0.0	46.0	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__Abiotrophia defectiva
63	b64ec5485bab068975098b3f0e58492d	20.0	0.0	0.0	0.0	0.0	49.0	61.0	24.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
64	8ab324690443855f8f1bef18d50ffe43	65.0	25.0	20.0	0.0	0.0	0.0	0.0	0.0	44.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Neisseriaceae_563222; g__Neisseria_563205
65	eba18f1e9ef53eff7c582811875a64aa	2.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	89.0	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__Moranbacterales; f__DUUL01; g__DUUL01; s__DUUL01 sp012841575
66	e7a665fae46b47c8a18315340ba9caf4	22.0	0.0	0.0	29.0	31.0	17.0	21.0	30.0	0.0	d__Bacteria
67	16df3d6ba4d2a0f063a3dfeb73ca9df9	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia_401430; o__Acidimicrobiales
68	4a31178c7f986d6f6addf49355becf95	34.0	0.0	0.0	0.0	0.0	92.0	0.0	15.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Propionibacteriales; f__Kribbellaceae; g__Kribbella
69	7cfad00ab36fd86f5c4df5e4b03aeb32	0.0	0.0	0.0	73.0	67.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales_616009; f__Xanthomonadaceae_616009
70	f63ef0ab1cac2137e9dfb7e7074e31cd	0.0	0.0	0.0	0.0	0.0	40.0	99.0	0.0	0.0	d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales; f__; g__; s__
71	32b3e68ff3145fd0d4d05562a120bc91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hornefia
72	48fe23708ca139962c6d6f8298307524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_597441; f__Neisseriaceae_563222; g__Neisseria_563205
73	233fcf59f7a19d42db8b243e0b9aa35c	47.0	9.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae
74	59ea8a9f2766b530d6e9bfb051ea3ec7	0.0	0.0	0.0	75.0	57.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522
75	485739d31a097a4ad6bf92a49897d02c	0.0	0.0	0.0	4.0	0.0	85.0	34.0	7.0	0.0	d__Bacteria
76	a9e24f83bc596ce23500f23aec15ca39	0.0	0.0	0.0	67.0	61.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Aliarcobacter
77	5cf8b1a7879de1254fe554d14e881cde	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504721; f__Hyphomicrobiaceae
78	1fcf2316ac1d02fb2c8812d9c28261f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	0.0	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae
79	ffdad2142cb81512aad0aead76c8a40b	8.0	0.0	0.0	12.0	0.0	0.0	91.0	14.0	0.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__TH1-2
80	5336f563a5fedc6cd0063b4eea61faed	0.0	0.0	0.0	61.0	48.0	0.0	0.0	14.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522
